service_id,date,exception_type
202503-MVS-Sunday-01,20250901,1
202503-MVS-Sunday-01,20250930,1
202503-MVS-Sunday-01,20251013,1
202503-MVS-Sunday-01,20251111,1
202503-MVS-Sunday-01,20251225,1
202503-MVS-Sunday-01,20251226,1
202503-MVS-Sunday-01,20260101,1
202503-MVS-Weekday-01,20250901,2
202503-MVS-Weekday-01,20250930,2
202503-MVS-Weekday-01,20251013,2
202503-MVS-Weekday-01,20251111,2
202503-MVS-Weekday-01,20251225,2
202503-MVS-Weekday-01,20251226,2
202503-MVS-Weekday-01,20251231,2
202503-MVS-Weekday-01,20260101,2
202601-MVS-Sunday-01,20260216,1
202601-MVS-Sunday-01,20260403,1
202601-MVS-Weekday-01,20260216,2
202601-MVS-Weekday-01,20260403,2
