route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
24-45,202503-MVS-Weekday-01,225548-202503-MVS-Weekday-01,"DOWNTOWN",1,12499,240011
24-45,202503-MVS-Weekday-01,225549-202503-MVS-Weekday-01,"AIRPORT",0,12497,240012
24-45,202503-MVS-Weekday-01,225550-202503-MVS-Weekday-01,"AIRPORT",0,12498,240012
24-45,202503-MVS-Weekday-01,225551-202503-MVS-Weekday-01,"AIRPORT",0,12497,240012
24-45,202503-MVS-Weekday-01,225552-202503-MVS-Weekday-01,"AIRPORT",0,12498,240012
24-45,202503-MVS-Weekday-01,225553-202503-MVS-Weekday-01,"AIRPORT",0,12497,240012
24-45,202503-MVS-Weekday-01,225554-202503-MVS-Weekday-01,"AIRPORT",0,12498,240012
24-45,202503-MVS-Weekday-01,225555-202503-MVS-Weekday-01,"AIRPORT",0,12497,240012
24-45,202503-MVS-Weekday-01,225556-202503-MVS-Weekday-01,"AIRPORT",0,12498,240012
24-45,202503-MVS-Weekday-01,225557-202503-MVS-Weekday-01,"AIRPORT",0,12497,240012
24-45,202503-MVS-Weekday-01,225558-202503-MVS-Weekday-01,"AIRPORT",0,12498,240012
24-45,202503-MVS-Weekday-01,225559-202503-MVS-Weekday-01,"AIRPORT",0,12499,240012
24-45,202503-MVS-Weekday-01,225560-202503-MVS-Weekday-01,"AIRPORT",0,12499,240012
24-45,202503-MVS-Weekday-01,225561-202503-MVS-Weekday-01,"AIRPORT",0,12499,240012
24-45,202503-MVS-Weekday-01,225562-202503-MVS-Weekday-01,"AIRPORT",0,12499,240012
24-45,202503-MVS-Weekday-01,225563-202503-MVS-Weekday-01,"AIRPORT",0,12499,240012
24-45,202503-MVS-Weekday-01,225564-202503-MVS-Weekday-01,"AIRPORT",0,12499,240012
24-45,202503-MVS-Weekday-01,225565-202503-MVS-Weekday-01,"AIRPORT",0,12499,240012
24-45,202503-MVS-Weekday-01,225566-202503-MVS-Weekday-01,"AIRPORT",0,12499,240012
24-45,202503-MVS-Weekday-01,225567-202503-MVS-Weekday-01,"AIRPORT",0,12500,240012
